datetime,open,high,low,close,volume
2025-09-22 03:45:00,615.0,615.0,540.0,565.55,600
2025-09-22 04:00:00,565.55,570.0,565.55,570.0,75
2025-09-22 04:15:00,570.0,570.0,570.0,570.0,0
2025-09-22 04:30:00,570.0,570.0,570.0,570.0,0
2025-09-22 04:45:00,570.0,570.0,570.0,570.0,0
2025-09-22 05:00:00,570.0,599.75,570.0,599.75,75
2025-09-22 05:15:00,599.75,599.75,599.75,599.75,0
2025-09-22 05:30:00,599.75,599.75,599.75,599.75,0
2025-09-22 05:45:00,599.75,599.75,599.75,599.75,0
2025-09-22 06:00:00,599.75,599.75,561.55,561.55,75
2025-09-22 06:15:00,561.55,581.3,561.55,581.3,600
2025-09-22 06:30:00,581.3,581.3,581.3,581.3,0
2025-09-22 06:45:00,581.3,581.3,581.3,581.3,0
2025-09-22 07:00:00,581.3,581.3,581.3,581.3,0
2025-09-22 07:15:00,581.3,581.3,581.3,581.3,0
2025-09-22 07:30:00,581.3,581.3,581.3,581.3,0
2025-09-22 07:45:00,581.3,581.3,581.3,581.3,0
2025-09-22 08:00:00,581.3,581.3,581.3,581.3,0
2025-09-22 08:15:00,581.3,581.3,581.3,581.3,0
2025-09-22 08:30:00,581.3,581.3,581.3,581.3,0
2025-09-22 08:45:00,581.3,581.3,550.0,550.0,75
2025-09-22 09:00:00,550.0,550.0,542.05,542.05,75
2025-09-22 09:15:00,542.05,542.05,542.05,542.05,0
2025-09-22 09:30:00,542.05,542.05,542.05,542.05,0
2025-09-22 09:45:00,542.05,542.05,518.0,520.2,150
2025-09-23 04:00:00,470.0,470.0,470.0,470.0,225
2025-09-23 04:15:00,470.0,470.0,450.0,465.0,225
2025-09-23 04:30:00,465.0,465.0,465.0,465.0,0
2025-09-23 04:45:00,465.0,465.0,458.75,458.75,75
2025-09-23 05:00:00,458.75,462.2,458.75,462.2,150
2025-09-23 05:15:00,462.2,462.2,455.0,455.0,75
2025-09-23 05:30:00,455.0,455.0,455.0,455.0,0
2025-09-23 05:45:00,455.0,455.0,455.0,455.0,0
2025-09-23 06:00:00,455.0,455.0,442.75,442.75,75
2025-09-23 06:15:00,442.75,450.0,442.75,450.0,150
2025-09-23 06:30:00,450.0,465.75,450.0,465.75,150
2025-09-23 06:45:00,465.75,479.7,465.75,479.7,75
2025-09-23 07:00:00,479.7,520.0,479.7,507.0,600
