datetime,open,high,low,close,volume
2025-09-30 03:45:00,27.7,30.75,26.55,30.25,517500
2025-09-30 04:00:00,30.25,32.0,29.1,31.8,312750
2025-09-30 04:15:00,31.85,32.5,31.6,32.0,218250
2025-09-30 04:30:00,32.1,33.1,30.15,30.6,177750
2025-09-30 04:45:00,30.6,31.95,30.6,31.25,58500
2025-09-30 05:00:00,31.25,31.25,29.2,29.75,113250
2025-09-30 05:15:00,29.75,29.75,28.55,29.3,148500
2025-09-30 05:30:00,29.3,29.95,29.3,29.75,47250
2025-09-30 05:45:00,29.75,30.05,29.25,29.6,45750
2025-09-30 06:00:00,29.6,30.65,29.4,30.2,57750
2025-09-30 06:15:00,30.05,30.35,29.4,29.45,36000
2025-09-30 06:30:00,29.45,30.95,29.4,29.6,77250
2025-09-30 06:45:00,29.6,30.8,29.6,30.25,33000
2025-09-30 07:00:00,30.25,31.5,30.05,31.0,62250
2025-09-30 07:15:00,31.0,31.15,29.6,29.65,61500
2025-09-30 07:30:00,29.65,29.85,28.6,29.05,126750
2025-09-30 07:45:00,29.05,29.8,28.35,28.5,74250
2025-09-30 08:00:00,28.3,29.0,27.9,28.75,77250
2025-09-30 08:15:00,28.75,29.2,28.5,28.7,60750
2025-09-30 08:30:00,28.7,29.05,28.25,28.8,42750
2025-09-30 08:45:00,28.8,29.4,28.15,29.0,46500
2025-09-30 09:00:00,29.3,29.75,28.8,29.45,33750
2025-09-30 09:15:00,29.45,30.25,29.2,29.7,120750
2025-09-30 09:30:00,29.7,29.7,28.25,28.8,81000
2025-09-30 09:45:00,28.8,29.5,28.65,29.5,165750
2025-10-01 03:45:00,28.95,31.2,27.1,27.35,328500
2025-10-01 04:00:00,27.35,28.8,27.3,28.1,153000
2025-10-01 04:15:00,28.1,28.5,27.2,27.2,68250
2025-10-01 04:30:00,27.2,28.45,24.9,27.5,222750
2025-10-01 04:45:00,27.5,27.5,24.0,24.15,144000
2025-10-01 05:00:00,24.15,24.75,23.4,24.3,99750
2025-10-01 05:15:00,24.3,24.7,23.0,23.15,82500
2025-10-01 05:30:00,23.15,23.3,22.2,22.4,90750
2025-10-01 05:45:00,22.4,23.05,21.55,22.2,123000
2025-10-01 06:00:00,22.2,22.5,21.45,22.5,258000
2025-10-01 06:15:00,22.5,22.5,21.55,21.95,162750
2025-10-01 06:30:00,21.95,21.95,21.4,21.8,110250
2025-10-01 06:45:00,21.9,22.7,21.65,22.3,95250
2025-10-01 07:00:00,22.3,23.8,21.85,23.3,110250
2025-10-01 07:15:00,23.3,23.4,22.0,22.0,99750
2025-10-01 07:30:00,22.0,23.6,21.8,23.15,181500
2025-10-01 07:45:00,23.15,23.75,22.45,23.0,290250
2025-10-01 08:00:00,23.0,24.05,22.35,23.9,106500
2025-10-01 08:15:00,23.95,25.2,23.95,24.55,144000
2025-10-01 08:30:00,24.55,25.0,23.3,23.3,87000
2025-10-01 08:45:00,23.3,23.95,22.55,22.9,123000
2025-10-01 09:00:00,22.9,23.55,22.65,22.85,87750
2025-10-01 09:15:00,22.85,23.0,22.05,22.05,74250
2025-10-01 09:30:00,22.05,22.55,21.05,21.45,295500
2025-10-01 09:45:00,21.4,22.3,21.4,22.3,236250
