date,open,high,low,close,volume
2025-10-08,866.8,867.8,857.25,858.25,7156112
2025-10-09,861.6,865.8,858.1,862.1,7020501
2025-10-10,862.1,883.75,861.3,880.65,13713015
2025-10-13,879.0,888.1,876.0,882.95,11923143
2025-10-14,883.0,884.15,872.1,876.95,7681973
